global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
22,9,-8,1,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,-2,0,-2,0,c5,c5r13
24,10,-10,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-1,0,-1,0,c5,c5r8
5,1,9,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,c1,c1r38
8,2,6,2,1,1,2,-1,0,1,1,-1,0,0,0,0,0,0,0,0,c1,c1r13
10,3,4,2,1,0,1,1,0,0,0,-1,0,0,0,1,-1,0,0,0,c1,c1r9
14,4,0,2,0,0,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,c1,c1r40
15,5,-1,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,c1,c1r4
15,5,-1,3,-1,0,0,1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c1,c1r28
15,5,-1,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,c1,c1r45
16,6,-2,0,-1,0,1,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,c1,c1r14
17,7,-3,0,0,-1,1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,c1,c1r8
17,7,-3,0,-1,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,c1,c1r18
17,7,-3,0,-1,0,1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,c1,c1r21
17,7,-3,1,-1,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,c1,c1r35
18,8,-4,1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,c1,c1r23
18,8,-4,1,-1,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,0,0,c1,c1r26
19,9,-5,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,c1,c1r6
19,9,-5,0,-1,-1,1,-1,0,-1,0,0,0,0,0,0,-2,0,0,0,c1,c1r16
19,9,-5,1,-1,0,2,1,1,-1,0,-2,0,-1,-1,0,-1,-1,-1,-1,c1,c1r30
20,10,-6,0,-1,0,1,-1,0,-1,0,-1,0,-1,0,0,-2,0,0,0,c1,c1r20
20,10,-6,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,c1,c1r31
20,10,-6,1,-1,-1,1,-1,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,c1,c1r36
21,11,-7,0,-1,0,1,-1,0,-1,0,-2,0,0,0,0,-2,-1,0,0,c1,c1r15
22,12,-8,0,-1,0,1,1,0,-1,0,-2,0,-1,-1,0,-2,-1,-1,0,c1,c1r3
22,12,-8,0,-1,0,1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,c1,c1r22
22,12,-8,0,-1,0,-1,-1,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,c1,c1r27
22,12,-8,0,-1,0,1,-1,0,-1,0,-2,0,-1,0,0,-2,-1,0,0,c1,c1r39
22,12,-8,0,-1,0,1,-1,0,-1,0,-1,0,0,0,-1,-2,-1,-1,0,c1,c1r41
23,13,-9,0,-1,0,0,-1,0,-1,0,-2,-1,0,0,0,-2,-1,0,0,c1,c1r2
24,14,-10,0,-1,-1,-1,-1,-1,-1,0,-2,0,-1,0,0,-1,0,0,0,c1,c1r17
24,14,-10,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,c1,c1r29
25,15,-11,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,0,-1,0,0,-1,c1,c1r5
25,15,-11,0,-1,-1,0,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c1,c1r10
25,15,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c1,c1r25
25,15,-11,0,-1,0,1,-1,0,-1,0,-1,-1,-1,-1,0,-2,-1,-1,-1,c1,c1r37
